ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
InvalidAssociationException;0;1;13;43;0;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0
InboundPayload;0;1;12;40;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0
Disassociated;0;1;8;46;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0
UnderlyingTransportError;0;1;10;52;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
ActorHandleEventListener;0;1;12;47;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
InboundAssociation;0;1;8;46;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0
ActorAssociationEventListener;0;1;12;47;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
AssociationHandle;0;8;43;52;13;0;3;34;19;6;0;0;0;0;0;0;0;0;0;0
TransportAdaptersExtension;1;1;13;31;2;1;0;4;4;1;0;0;0;0;0;0;0;0;0;0
TransportAdapters;1;5;36;32;6;0;0;2;11;1;0;0;0;0;0;0;0;0;0;0
SchemeAugmenter;0;2;28;51;5;0;0;5;13;0;0;0;0;0;0;0;0;0;0;0
AbstractTransportAdapter;0;1;54;45;6;1;2;5;22;9;14;1;9;0;0;0;5;0;0;0
AbstractTransportAdapterHandle;0;9;39;44;11;1;3;7;20;1;0;0;0;0;0;0;0;0;0;0
TransportOperation;0;1;4;42;0;0;4;4;1;0;0;0;0;0;0;0;0;0;0;0
ListenerRegistered;0;1;8;46;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0
AssociateUnderlying;0;1;10;52;0;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0
ListenUnderlying;0;1;10;52;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0
DisassociateUnderlying;0;1;8;46;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0
ActorTransportAdapter;1;3;34;37;6;2;2;8;21;0;17;2;7;0;3;0;0;0;0;1
ActorTransportAdapterManager;0;2;35;40;4;2;2;4;16;3;36;4;20;0;6;0;3;0;0;3
DefaultActorState;0;8;113;46;28;0;0;1;37;178;0;0;0;0;0;0;0;0;0;0
FullActorState;0;3;102;48;22;0;0;1;42;108;0;0;0;0;0;0;0;0;0;0
Status;0;1;23;48;0;0;0;10;3;0;0;0;0;0;0;0;0;0;0;0
ActorBase;0;7;69;56;11;0;21;42;22;34;1;1;1;0;0;0;0;0;0;0
ActorBase;0;1;38;53;8;0;21;42;19;28;11;1;5;0;0;0;0;0;0;0
ActorBase;0;1;13;40;1;0;21;42;2;0;0;0;0;0;0;0;0;0;0;0
ActorCell;1;58;301;28;78;0;1;88;91;206;0;0;0;0;0;0;0;0;0;0
ActorCell;1;26;298;37;54;0;1;88;112;230;3;3;11;0;3;0;2;0;0;2
ActorCell;0;41;222;28;59;0;1;88;128;0;19;10;55;0;22;0;11;0;2;9
ActorCell;1;52;323;27;77;0;1;88;123;335;0;1;1;0;0;0;1;0;0;0
ActorCell;1;39;339;15;55;0;1;88;168;62;7;7;26;0;8;0;15;0;0;0
ActorCell;0;3;32;23;5;0;1;88;6;0;0;0;0;0;0;0;0;0;0;0
ActorPath;1;44;273;41;58;0;2;52;97;251;0;0;0;0;0;0;0;0;0;0
RootActorPath;0;3;22;29;4;1;0;7;7;1;0;0;0;0;0;0;0;0;0;0
ChildActorPath;0;9;63;18;8;1;0;6;14;3;0;0;0;0;0;0;0;0;0;0
ActorProducerPluginBase;0;1;10;60;3;0;1;2;3;3;0;0;0;0;0;0;0;0;0;0
ActorProducerPipelineResolver;0;5;65;34;12;0;0;4;28;0;2;2;2;0;0;0;1;0;0;0
ActorProducerPipeline;0;7;58;29;11;0;0;4;17;0;0;0;0;0;0;0;0;0;0;0
FutureActorRef;0;5;56;34;5;3;0;4;14;1;3;2;2;0;2;0;0;0;0;0
ActorRefSender;0;2;8;33;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
ActorRefImplicitSenderExtensions;0;1;13;45;2;0;0;1;6;1;0;0;0;0;0;0;0;0;0;0
ActorRefs;0;1;5;58;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0
ActorRefBase;1;10;68;38;18;0;1;7;23;28;0;0;0;0;0;0;0;0;0;0
InternalActorRefBase;0;1;20;39;8;1;2;4;9;21;0;0;0;0;0;0;0;0;0;0
MinimalActorRef;0;2;41;21;9;2;7;11;9;28;0;0;0;0;0;0;0;0;0;0
Nobody;0;1;23;47;1;3;0;16;7;1;0;0;0;0;0;0;0;0;0;0
