ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
ExtensionGrantValidationContext;0;1;5;70;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0
ResourceOwnerPasswordValidationContext;0;1;7;77;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0
ApiSecretValidator;0;5;67;17;7;0;0;6;24;1;0;0;0;0;0;0;0;0;0;0
AuthorizeRequestValidator;0;87;517;18;98;0;0;16;204;0;0;1;1;0;1;0;1;0;0;0
BasicAuthenticationSecretParser;0;12;73;20;13;0;0;7;29;1;0;0;0;0;0;0;0;0;0;0
BearerTokenUsageValidator;0;8;68;21;10;0;0;5;25;1;0;0;0;0;0;0;0;0;0;0
ClientSecretValidator;0;7;71;16;9;0;0;8;24;1;0;0;0;0;0;0;0;0;0;0
DefaultClientConfigurationValidator;0;51;171;22;58;0;0;5;52;28;1;2;2;0;0;0;2;0;0;0
DefaultCustomAuthorizeRequestValidator;0;1;7;36;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
DefaultCustomTokenRequestValidator;0;1;7;50;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
DefaultCustomTokenValidator;0;1;17;60;2;0;0;2;5;1;0;0;0;0;0;0;0;0;0;0
DeviceAuthorizationRequestValidator;0;15;118;13;21;0;0;12;54;9;0;0;0;0;0;0;0;0;0;0
DeviceCodeValidator;0;11;72;20;11;0;0;8;24;0;0;0;0;0;0;0;0;0;0;0
EndSessionRequestValidator;0;27;198;22;31;0;0;12;61;0;1;4;4;0;0;0;0;0;0;0
ExtensionGrantValidator;0;4;45;23;4;0;0;8;15;0;4;2;2;0;0;0;0;0;0;0
HashedSharedSecretValidator;0;11;65;16;11;0;0;6;22;0;1;1;1;0;1;0;0;0;0;0
IntrospectionRequestValidator;0;3;49;23;3;0;0;4;11;0;0;0;0;0;0;0;0;0;0;0
JwtBearerClientAssertionSecretParser;0;9;67;22;10;0;0;7;17;0;0;0;0;0;0;0;0;0;0;0
JwtRequestValidator;0;14;126;3;17;0;0;7;56;4;4;6;6;0;2;0;0;0;0;0
MutualTlsSecretParser;0;7;52;21;7;0;0;7;13;0;0;0;0;0;0;0;0;0;0;0
NopClientConfigurationValidator;0;1;8;38;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
NotSupportedResourceOwnerPasswordValidator;0;1;14;39;1;0;0;6;4;0;0;0;0;0;0;0;0;0;0;0
PlainTextSharedSecretValidator;0;7;39;26;7;0;0;5;15;0;2;1;1;0;1;0;0;0;0;0
PostBodySecretParser;0;7;59;25;7;0;0;7;15;0;0;0;0;0;0;0;0;0;0;0
PrivateKeyJwtSecretValidator;0;10;101;10;13;0;0;7;39;0;4;5;5;0;2;0;0;0;0;0
ResponseTypeEqualityComparer;0;11;41;28;12;0;0;1;10;1;0;0;0;0;0;0;0;0;0;0
ScopeValidator;0;28;170;27;32;0;0;15;55;0;5;10;10;0;3;0;3;0;0;0
SecretParser;0;5;38;28;6;0;0;8;11;0;5;2;2;0;0;0;0;0;0;0
SecretValidator;0;4;34;27;4;0;0;7;17;0;8;3;3;0;3;0;0;0;0;0
StrictRedirectUriValidator;0;2;16;57;4;0;1;2;9;3;0;0;0;0;0;0;0;0;0;0
StrictRedirectUriValidatorAppAuth;0;13;44;38;15;1;0;4;18;3;0;0;0;0;0;0;0;0;0;0
TokenRequestValidator;1;82;554;16;101;0;0;19;257;38;0;0;0;0;0;0;0;0;0;0
TokenRevocationRequestValidator;0;6;55;27;6;0;0;5;22;0;0;0;0;0;0;0;0;0;0;0
TokenValidator;0;39;371;5;48;0;0;9;145;0;1;4;4;0;0;0;0;0;0;0
UserInfoRequestValidator;0;4;58;21;4;0;0;8;17;0;3;2;2;0;1;0;0;0;0;0
X509NameSecretValidator;0;8;54;8;8;0;0;5;17;0;1;1;1;0;1;0;0;0;0;0
X509ThumbprintSecretValidator;0;8;54;8;8;0;0;5;17;0;1;1;1;0;1;0;0;0;0;0
