ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
PublishCommandParser;0;2;49;0;2;0;0;6;36;0;12;3;7;0;0;0;1;0;0;0
RemovePackageReferenceCommand;0;5;56;0;3;1;0;4;19;0;1;1;1;0;0;0;0;0;0;0
RemovePackageParser;0;1;17;0;1;0;0;5;8;0;0;0;0;0;0;0;0;0;0;0
RemoveProjectToProjectReferenceCommand;0;6;48;0;3;1;0;3;17;0;20;1;12;0;0;0;3;0;1;0
RemoveProjectToProjectReferenceParser;0;1;18;0;1;0;0;5;10;0;5;1;1;0;0;0;0;0;0;0
RemoveCommand;0;1;26;0;1;1;0;7;8;0;25;2;9;0;0;0;0;0;0;0
RemoveCommandParser;0;1;14;0;1;0;0;6;9;0;0;0;0;0;0;0;0;0;0;0
NuGet3;0;4;21;8;4;0;0;2;13;0;4;1;1;0;0;0;0;0;0;0
RestoreProjectJsonCommand;0;1;8;0;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
RestoreCommand;0;2;29;0;3;1;0;6;16;1;0;0;0;0;0;0;0;0;0;0
RestoreCommandParser;0;10;108;0;14;0;0;7;74;6;6;8;8;0;0;0;0;0;1;0
LaunchSettingsApplyResult;0;1;12;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0
LaunchSettingsManager;0;21;92;0;23;0;0;4;31;0;0;0;0;0;0;0;0;0;0;0
ProjectLaunchSettingsProvider;1;28;129;1;30;0;0;3;43;1;0;0;0;0;0;0;0;0;0;0
RunCommand;0;2;19;0;3;0;0;9;9;1;0;0;0;0;0;0;0;0;0;0
RunCommand;1;30;216;1;35;0;0;9;92;28;1;2;4;0;0;0;0;0;0;0
RunCommandParser;0;2;49;0;2;0;0;4;31;0;22;1;14;0;1;0;0;0;0;0
AddProjectToSolutionCommand;0;15;101;4;16;1;0;5;41;15;6;1;7;0;0;0;3;0;0;0
SlnAddParser;0;1;15;0;1;0;0;5;9;0;6;1;1;0;0;0;0;0;0;0
