ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
BaseTypeCollector;0;9;24;45;9;1;0;1;9;0;0;0;0;0;0;0;0;0;0;0
DefaultAssemblyReference;0;9;51;0;9;0;0;3;13;0;0;0;0;0;0;0;0;0;0;0
DefaultAttribute;0;7;50;0;0;0;0;1;9;0;5;3;3;0;0;0;0;0;0;0
DefaultParameter;0;11;101;0;10;0;0;2;24;3;0;0;0;0;0;0;0;0;0;0
DefaultVariable;0;3;39;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
DummyTypeParameter;1;8;139;12;13;1;0;11;33;45;0;0;0;0;0;0;0;0;0;0
GetClassTypeReference;1;12;76;31;17;0;0;3;24;0;0;0;0;0;0;0;0;0;0;0
GetMembersHelper;0;46;232;0;65;0;0;7;87;49;5;13;13;0;0;0;8;0;4;0
KnownTypeCache;0;5;30;0;6;0;0;4;10;1;0;0;0;0;0;0;0;0;0;0
MergedNamespace;0;12;98;14;11;0;0;1;25;0;3;4;4;0;0;0;0;0;0;0
MinimalCorlib;0;11;215;0;7;0;0;10;52;100;1;3;3;0;0;0;0;0;0;0
NestedTypeReference;1;12;61;14;14;0;0;2;13;0;0;0;0;0;0;0;0;0;0;0
SimpleCompilation;0;16;111;2;15;0;0;4;38;2;0;0;0;0;0;0;0;0;0;0
SpecializedEvent;0;5;39;0;5;1;0;3;9;0;0;0;0;0;0;0;0;0;0;0
SpecializedField;0;5;34;0;6;1;0;4;8;1;0;0;0;0;0;0;0;0;0;0
SpecializedMember;0;16;168;9;14;0;3;8;51;0;0;1;1;0;1;0;0;0;0;0
SpecializedParameterizedMember;0;6;53;7;6;1;2;5;24;1;1;1;1;0;0;0;0;0;0;0
