ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
PlaylistItemQuery;0;1;8;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BasePluginConfiguration;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PluginInfo;0;1;9;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PluginPageInfo;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExternalIdInfo;0;1;6;66;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ExternalUrl;0;1;5;61;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ImageProviderInfo;0;1;9;30;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
RemoteImageInfo;0;1;13;75;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
RemoteImageQuery;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RemoteImageResult;0;1;6;66;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
RemoteSearchResult;0;1;20;37;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0
RemoteSubtitleInfo;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SubtitleOptions;0;1;18;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
SubtitleProviderInfo;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AllThemeMediaResult;0;1;12;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0
EpisodeQuery;0;1;17;70;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
ItemCountsQuery;0;1;5;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ItemSortBy;0;1;30;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MovieRecommendationQuery;0;1;14;58;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
NextUpQuery;0;1;18;66;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
QueryFiltersLegacy;0;1;14;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
QueryFilters;0;1;10;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
QueryResult;0;1;9;47;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
SessionQuery;0;1;4;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SimilarItemsQuery;0;1;7;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ThemeMediaResult;0;1;4;50;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0
UpcomingEpisodesQuery;0;1;15;68;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
UserQuery;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SearchHint;0;1;32;74;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
SearchHintResult;0;1;5;61;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
SearchQuery;0;1;32;33;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
IgnoreDataMemberAttribute;0;1;7;0;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0
ApiMemberAttribute;0;1;13;72;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
QueryParamCollection;0;12;104;7;19;1;0;1;33;36;0;0;0;0;0;0;0;0;0;0
RouteAttribute;0;13;49;62;15;1;0;2;20;1;0;0;0;0;0;0;0;0;0;0
