ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
GenericWebHostBuilder;0;27;273;10;30;0;0;11;120;38;36;17;157;0;7;0;36;0;0;0
GenericWebHostService;0;21;152;1;23;0;0;10;42;1;4;1;7;0;1;0;1;0;0;0
GenericWebHostServiceOptions;0;1;6;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
HostingStartupWebHostBuilder;0;3;54;0;13;0;0;2;23;8;1;1;1;0;0;0;0;0;0;0
ActivityExtensions;0;1;11;0;1;0;0;0;2;0;8;1;1;0;0;0;0;0;0;0
ApplicationLifetime;0;5;65;30;8;0;0;4;15;0;0;0;0;0;0;0;0;0;0;0
ConfigureBuilder;0;4;43;4;5;0;0;2;10;1;2;1;1;0;0;0;0;0;0;0
ConfigureContainerBuilder;0;3;33;2;6;0;0;2;12;6;5;2;2;0;0;0;0;0;0;0
ConfigureServicesBuilder;0;5;34;2;7;0;0;2;13;3;8;3;3;0;0;0;0;0;0;0
HostedServiceExecutor;0;6;45;2;8;0;0;3;12;3;4;2;2;0;0;0;0;0;1;0
HostingApplication;0;1;44;6;3;0;0;6;12;1;0;0;0;0;0;0;0;0;0;0
HostingApplicationDiagnostics;0;32;243;10;44;0;0;6;72;0;0;0;0;0;0;0;0;0;0;0
HostingEnvironment;0;1;10;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
HostingEnvironmentExtensions;0;15;99;3;16;0;0;1;38;0;0;0;0;0;0;0;0;0;0;0
HostingEventSource;0;2;76;10;8;1;0;5;24;1;5;4;4;0;4;0;0;0;0;0
HostingLoggerExtensions;0;15;148;0;14;0;0;1;41;24;0;0;0;0;0;0;0;0;0;0
HostingRequestFinishedLog;0;7;54;0;5;0;0;3;12;1;1;1;1;0;0;0;0;0;0;0
HostingRequestStartingLog;0;13;70;1;5;0;0;3;22;1;1;1;1;0;0;0;0;0;0;0
LoggerEventIds;0;1;15;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
MethodInfoExtensions;0;1;7;36;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
ServiceCollectionExtensions;0;2;12;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
StartupLoader;0;25;246;15;24;0;0;7;103;53;1;4;4;0;0;0;4;0;2;0
StartupMethods;0;1;14;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0
WebHost;0;42;292;4;48;0;0;13;115;15;3;4;12;0;1;0;1;0;1;0
WebHostLifetime;0;6;59;6;10;0;0;1;12;8;0;0;0;0;0;0;0;0;0;0
WebHostOptions;0;7;63;1;5;0;0;8;24;1;0;0;0;0;0;0;0;0;0;0
WebHostUtilities;0;2;8;0;2;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0
ServerAddressesFeature;0;1;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
ConventionBasedStartup;0;5;38;0;6;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0
StartupBase;0;1;16;0;4;0;1;1;7;3;0;0;0;0;0;0;0;0;0;0
StaticWebAssetsFileProvider;0;5;43;6;6;0;0;0;17;6;0;0;0;0;0;0;0;0;0;0
StaticWebAssetsLoader;0;8;61;11;11;0;0;3;22;6;1;1;1;0;0;0;0;0;0;0
StaticWebAssetsReader;0;8;56;0;9;0;0;2;18;0;0;0;0;0;0;0;0;0;0;0
WebHostBuilder;0;26;225;19;32;0;0;7;114;12;6;6;15;0;0;0;5;0;0;0
WebHostBuilderExtensions;0;6;96;41;16;0;0;2;61;13;33;13;48;0;0;0;4;0;0;0
WebHostExtensions;0;9;114;19;15;0;0;2;49;13;7;2;9;0;0;0;1;0;0;0
AttributeValue;0;1;24;0;2;0;0;3;6;0;0;0;0;0;0;0;0;0;0;0
BaseView;0;16;173;29;30;0;1;3;75;43;0;1;1;0;0;0;0;0;0;0
HelperResult;0;1;12;40;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
ExceptionDetails;0;1;6;60;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
ExceptionDetailsProvider;0;13;132;5;17;0;0;7;45;10;2;1;4;0;0;0;0;0;2;0
MethodDisplayInfo;0;3;30;0;3;0;0;4;18;0;3;1;1;0;0;0;0;0;0;0
ParameterDisplayInfo;0;2;20;0;2;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0
PortablePdbReader;0;22;99;0;26;0;0;2;38;8;0;0;0;0;0;0;0;0;0;0
StackFrameInfo;0;1;7;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
StackFrameSourceCodeInfo;0;1;11;68;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0
StackTraceHelper;0;39;191;7;43;0;0;5;43;10;14;2;33;0;1;0;12;0;1;4
ErrorPage;0;20;784;1;20;1;0;6;139;0;0;0;0;0;0;0;0;0;0;0
ErrorPageModel;0;1;9;25;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
DeveloperExceptionPageExtensions;0;4;25;30;5;0;0;2;11;0;0;0;0;0;0;0;0;0;0;0
DeveloperExceptionPageMiddleware;0;26;193;8;25;0;0;12;59;4;1;2;2;0;1;0;2;0;0;0
DeveloperExceptionPageOptions;0;1;9;60;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0
CompilationErrorPageModel;0;1;6;60;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0
CompilationErrorPage;0;15;590;1;15;1;0;6;82;0;0;0;0;0;0;0;0;0;0;0
EndpointModel;0;1;7;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
ErrorPage;0;35;1066;0;35;1;0;7;239;0;0;4;4;0;0;0;0;0;0;0
ErrorPageModel;0;1;10;67;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
DiagnosticsLoggerExtensions;0;1;33;8;5;0;0;0;20;10;0;0;0;0;0;0;0;0;0;0
ExceptionHandlerExtensions;0;7;52;34;10;0;0;2;27;0;0;0;0;0;0;0;0;0;0;0
ExceptionHandlerFeature;0;1;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ExceptionHandlerMiddleware;0;12;116;4;12;0;0;6;28;3;0;0;0;0;0;0;0;0;0;0
ExceptionHandlerOptions;0;1;5;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
StatusCodeContext;0;1;12;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0
StatusCodePagesExtensions;0;14;126;29;20;0;0;3;55;3;28;5;50;0;1;0;12;0;0;0
StatusCodePagesFeature;0;1;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
StatusCodePagesMiddleware;0;8;34;8;7;0;0;4;9;0;0;0;0;0;0;0;0;0;0;0
StatusCodePagesOptions;0;2;24;7;2;0;0;4;8;0;29;1;10;0;0;0;2;0;0;0
StatusCodeReExecuteFeature;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
