ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
UnsafeTypeOpsFactory;0;2;165;0;1;0;0;1;115;6;0;0;0;0;0;0;0;0;0;0
CompositeDataLoader;0;2;67;18;6;0;0;1;40;1;1;1;1;0;0;0;1;0;0;0
CompositeLoaderEstimator;0;1;31;16;3;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0
DataLoaderExtensions;0;1;5;54;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
DataOperationsCatalog;0;17;224;54;31;0;0;12;135;0;0;0;0;0;0;0;0;0;0;0
EstimatorChain;0;8;75;13;10;0;0;0;41;0;1;1;1;0;0;0;0;0;0;0
LearningPipelineExtensions;0;2;86;29;9;0;0;0;59;13;0;0;0;0;0;0;0;0;0;0
FakeSchemaFactory;1;7;48;0;10;0;0;1;18;4;4;2;2;0;1;0;0;0;0;0
LegacyCompositeDataLoader;0;32;395;21;51;0;0;13;236;93;3;8;14;0;1;0;5;0;0;0
MultiFileSource;0;11;48;17;6;0;0;5;16;1;0;0;0;0;0;0;0;0;0;0
FileHandleSource;0;3;28;0;5;0;0;0;15;3;0;0;0;0;0;0;0;0;0;0
BlockingQueue;0;12;119;33;10;0;0;0;31;16;0;0;0;0;0;0;0;0;0;0
LoadColumnAttribute;0;2;21;38;0;0;0;2;12;0;0;0;0;0;0;0;0;0;0;0
TextLoader;0;183;993;24;52;0;0;16;430;120;1;13;13;0;3;0;6;0;0;1
TextLoader;0;94;628;10;0;0;0;16;192;83;0;1;5;0;2;0;0;0;0;0
TextLoader;0;170;1038;11;0;0;0;16;333;250;0;2;2;0;0;0;2;0;0;0
TextLoaderSaverCatalog;0;1;95;46;7;0;0;6;45;0;0;0;0;0;0;0;0;0;0;0
TextSaver;0;96;637;4;57;0;0;12;209;207;0;3;3;0;2;0;2;0;0;0
TextSaverUtils;0;16;74;5;19;0;0;1;27;6;0;0;0;0;0;0;0;0;0;0
TransformerChain;0;12;142;10;16;0;0;1;73;0;1;2;2;0;1;0;0;0;0;0
TransformWrapper;0;8;105;6;12;0;0;7;60;3;0;1;1;0;1;0;1;0;0;0
TrainedWrapperEstimatorBase;0;1;19;0;2;0;0;2;12;1;0;0;0;0;0;0;0;0;0;0
TransposeLoader;0;49;572;24;31;0;0;12;270;188;6;6;37;0;1;0;20;0;0;2
TransposeSaver;0;8;110;23;10;0;0;7;63;0;8;1;10;0;1;0;4;0;0;0
TrivialEstimator;0;1;23;4;2;0;0;0;9;1;0;0;0;0;0;0;0;0;0;0
TrivialLoaderEstimator;0;1;11;0;2;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0
AppendRowsDataView;0;43;341;11;14;0;0;6;121;73;10;7;41;0;22;0;11;0;0;2
ArrayDataViewBuilder;0;28;366;18;22;0;0;17;190;36;4;4;16;0;3;0;1;0;0;0
CacheDataView;0;99;985;22;66;0;0;7;413;164;3;9;33;0;15;0;4;0;0;0
CompositeRowToRowMapper;0;10;69;24;9;0;0;0;34;8;2;2;2;0;0;0;1;0;0;0
DataViewConstructionUtils;0;53;596;11;20;0;0;9;251;227;10;14;67;0;8;0;39;0;0;4
AnnotationInfo;0;1;14;33;2;0;1;4;5;1;0;0;0;0;0;0;0;0;0;0
DataViewExtensions;0;2;22;56;6;0;0;0;22;3;0;0;0;0;0;0;0;0;0;0
EmptyDataView;0;2;49;16;3;0;0;7;26;17;3;2;2;0;2;0;0;0;0;0
InternalSchemaDefinition;0;35;187;20;32;0;0;9;80;3;1;2;2;0;0;0;0;0;0;0
LambdaColumnMapper;0;15;157;1;10;0;0;7;74;4;8;5;14;0;0;0;8;0;0;0
LambdaFilter;0;9;148;2;7;0;0;3;67;8;5;4;8;0;1;0;7;0;0;0
OpaqueDataView;0;1;16;0;3;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0
RowToRowMapperTransform;0;26;270;12;30;2;0;10;141;88;2;4;8;0;3;0;3;0;0;0
SimpleRow;0;4;36;26;6;0;0;0;18;1;0;0;0;0;0;0;0;0;0;0
Transposer;0;118;913;22;28;0;0;10;347;99;15;12;163;0;36;0;172;0;0;12
TransposerUtils;0;10;155;25;9;0;0;3;95;58;0;1;1;0;0;0;0;0;0;0
RowCursor;0;1;6;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
TypedCursorable;0;37;352;17;17;0;0;6;188;150;15;13;63;0;2;0;50;0;0;2
CursoringUtils;0;1;12;42;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0
ZipBinding;0;8;48;15;8;0;0;1;16;0;2;1;1;0;0;0;1;0;0;0
ZipDataView;0;12;122;17;11;0;0;5;53;27;6;4;8;0;1;0;3;0;0;0
BufferBuilder;0;60;328;16;70;0;0;2;107;0;0;0;0;0;0;0;0;0;0;0
Combiner;0;1;5;0;2;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
TextCombiner;0;1;23;0;2;1;0;3;7;1;0;0;0;0;0;0;0;0;0;0
FloatAdder;0;1;19;0;2;1;0;3;5;1;0;0;0;0;0;0;0;0;0;0
R4Adder;0;2;19;0;2;1;0;3;5;1;0;0;0;0;0;0;0;0;0;0
R8Adder;0;1;19;0;2;1;0;3;5;1;0;0;0;0;0;0;0;0;0;0
U4Adder;0;1;19;0;2;1;0;3;5;1;0;0;0;0;0;0;0;0;0;0
Conversions;0;193;1273;12;397;0;0;19;654;908;2;4;37;0;0;0;17;0;0;1
DataViewUtils;0;117;977;21;55;0;0;12;393;629;20;19;251;0;6;0;188;0;0;18
RowSeeker;0;1;5;58;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
RowCursorUtils;0;41;426;17;61;0;0;60;245;272;18;13;97;0;1;0;69;0;0;4
SchemaAnnotationsExtensions;0;10;33;54;14;0;0;0;13;10;0;0;0;0;0;0;0;0;0;0
KeyTypeAttribute;0;1;12;58;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0
VectorTypeAttribute;0;2;21;41;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0
ColumnNameAttribute;0;1;9;43;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
NoColumnAttribute;0;1;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
CursorChannelAttribute;0;9;43;28;9;0;0;2;26;0;6;3;3;0;0;0;0;0;0;0
SchemaDefinition;0;32;143;29;27;0;0;18;71;1;4;4;6;0;4;0;0;0;0;0
SlotCursor;0;9;82;30;7;0;0;9;24;8;0;0;0;0;0;0;0;0;0;0
DebuggerExtensions;0;1;20;54;4;0;0;3;23;0;0;0;0;0;0;0;0;0;0;0
FeatureNameCollection;0;59;356;8;44;0;0;4;155;41;0;3;3;0;0;0;0;0;0;0
TGUIAttribute;0;1;17;22;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
IntrospectiveSortUtilities;0;2;14;17;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
GenericSpanSortHelper;0;35;197;3;44;0;0;1;68;36;0;0;0;0;0;0;0;0;0;0
VectorUtils;0;82;334;23;97;0;0;4;124;78;1;6;6;0;0;0;0;0;0;0
VectorUtils;0;89;388;18;111;0;0;4;169;136;1;4;4;0;0;0;1;0;0;1
ChooseColumnsByIndexTransform;0;10;181;26;7;2;0;10;92;59;2;4;4;0;0;0;5;0;0;0
IniFileUtils;0;2;36;23;4;0;0;1;26;3;0;0;0;0;0;0;0;0;0;0
ModelParametersBase;0;2;57;16;5;0;0;0;34;3;0;0;0;0;0;0;0;0;0;0
PredictionUtil;0;31;105;16;36;0;0;0;41;15;0;1;1;0;0;0;2;0;0;1
PredictorUtils;0;8;97;13;12;0;0;1;68;10;0;0;0;0;0;0;0;0;0;0
CommonOutputs;0;1;132;41;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0
VarSerializer;0;2;21;0;4;0;0;3;9;3;4;1;1;0;0;0;0;0;0;0
Var;0;10;30;0;10;0;0;3;12;0;0;0;0;0;0;0;0;0;0;0
ArrayVar;0;1;30;0;0;0;0;1;11;0;3;1;1;0;0;0;0;0;0;0
DictionaryVar;0;1;21;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0
EntryPointVariable;0;15;73;13;18;0;0;11;28;4;0;0;0;0;0;0;0;0;0;0
RunContext;0;15;123;2;26;0;0;9;55;0;1;2;2;0;0;0;0;0;0;0
EntryPointNode;0;83;456;10;93;0;0;18;252;27;1;8;9;0;8;0;2;0;0;0
