ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
ValueComparer;1;38;143;43;45;1;0;4;70;10;9;6;15;0;0;0;0;0;0;0
DbContext;1;52;586;58;102;0;0;71;270;523;0;0;0;0;0;0;0;0;0;0
DbContextOptions;1;3;29;56;6;0;1;14;12;6;0;0;0;0;0;0;0;0;0;0
DbContextOptionsBuilder;1;1;66;80;18;0;1;16;65;136;15;12;12;0;0;0;0;0;0;0
DbContextOptionsBuilder;0;1;37;83;11;1;0;6;25;55;0;0;0;0;0;0;0;0;0;0
DbContextOptions;1;1;21;50;1;1;0;4;9;0;8;2;2;0;0;0;0;0;0;0
DbFunctions;0;1;14;48;3;0;0;2;7;3;0;0;0;0;0;0;0;0;0;0
DbFunctionsExtensions;0;17;88;32;20;0;0;2;21;3;3;3;3;0;0;0;1;0;0;0
DbLoggerCategory;0;1;40;51;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0
DbQuery;1;1;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DbSet;1;1;50;89;25;0;0;3;55;153;0;0;0;0;0;0;0;0;0;0
DbUpdateConcurrencyException;0;1;32;46;0;1;0;4;6;0;0;0;0;0;0;0;0;0;0;0
DbUpdateException;1;1;39;45;0;0;1;6;13;0;4;2;2;0;1;0;0;0;0;0
DesignTimeProviderServicesAttribute;0;1;11;50;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0
DesignTimeServicesReferenceAttribute;0;1;16;62;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0
BinaryExpressionEventData;0;1;15;46;0;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0
CascadeDeleteEventData;0;1;17;45;0;2;0;7;3;0;0;0;0;0;0;0;0;0;0;0
CascadeDeleteOrphanEventData;0;1;17;45;0;2;0;7;3;0;0;0;0;0;0;0;0;0;0;0
CollectionChangedEventData;0;1;22;46;0;2;0;7;7;0;0;0;0;0;0;0;0;0;0;0
ContextInitializedEventData;0;1;15;46;0;1;0;6;1;0;0;0;0;0;0;0;0;0;0;0
CoreEventId;1;1;138;81;6;0;0;3;65;15;0;0;0;0;0;0;0;0;0;0
CoreLoggerExtensions;0;127;2079;21;236;0;0;40;817;0;0;10;10;0;0;0;0;0;0;0
DbContextErrorEventData;0;1;13;43;0;2;0;6;1;0;0;0;0;0;0;0;0;0;0;0
DbContextEventData;0;1;12;42;0;1;3;9;1;0;0;0;0;0;0;0;0;0;0;0
DbContextTypeErrorEventData;0;1;13;43;0;2;0;5;1;0;0;0;0;0;0;0;0;0;0;0
DbContextTypeEventData;0;1;12;42;0;1;1;4;1;0;0;0;0;0;0;0;0;0;0;0
EntityEntryEventData;0;1;13;40;0;1;3;9;3;0;0;0;0;0;0;0;0;0;0;0
EventData;0;1;15;50;1;0;19;35;3;0;0;0;0;0;0;0;0;0;0;0
EventDefinition;0;3;36;35;4;1;0;6;11;1;0;0;0;0;0;0;0;0;0;0
EventDefinitionBase;0;8;72;26;4;0;8;47;19;10;0;0;0;0;0;0;0;0;0;0
EventDefinition;0;3;37;36;4;1;0;4;11;1;0;0;0;0;0;0;0;0;0;0
EventDefinition;0;3;39;37;4;1;0;4;11;1;0;0;0;0;0;0;0;0;0;0
EventDefinition;0;3;43;38;4;1;0;4;11;1;0;0;0;0;0;0;0;0;0;0
EventDefinition;0;3;43;38;4;1;0;4;11;1;0;0;0;0;0;0;0;0;0;0
EventDefinition;0;3;45;39;4;1;0;4;11;1;0;0;0;0;0;0;0;0;0;0
EventDefinition;0;3;47;39;4;1;0;4;11;1;0;0;0;0;0;0;0;0;0;0
ExecutionStrategyEventData;0;1;18;53;0;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0
ExpressionEventData;0;1;12;42;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0
FallbackEventDefinition;0;3;37;39;4;1;0;3;12;1;0;0;0;0;0;0;0;0;0;0
ForeignKeyEventData;0;1;12;42;0;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0
InterceptorResolver;0;6;33;32;7;0;0;2;7;1;0;0;0;0;0;0;0;0;0;0
Interceptors;0;4;42;30;1;0;0;3;9;0;2;1;1;0;0;0;0;0;0;0
LazyLoadingEventData;0;1;16;46;0;2;0;6;1;0;0;0;0;0;0;0;0;0;0;0
LoggerCategory;0;2;17;41;3;0;0;4;9;1;0;0;0;0;0;0;0;0;0;0
LoggingDefinitions;1;1;131;74;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
NavigationEventData;0;1;12;42;0;1;2;6;1;0;0;0;0;0;0;0;0;0;0;0
PropertyChangedEventData;0;1;20;47;0;2;0;8;3;0;0;0;0;0;0;0;0;0;0;0
PropertyEventData;0;1;12;42;0;1;2;6;1;0;0;0;0;0;0;0;0;0;0;0
PropertyValueEventData;0;1;17;45;0;2;0;8;3;0;0;0;0;0;0;0;0;0;0;0
QueryExpressionEventData;0;1;15;46;0;1;0;5;1;0;0;0;0;0;0;0;0;0;0;0
